TH|6034565:1|60433365:1|32462330:1|51717802:1|43433768:1|45689241:1|35579418:1|60589430:1|22339267:1|47525077:1|8155074:1|11513990:1|47551919:1|77869029:1|9372031:1|51896393:1|16730391:1|76176301:1|16251631:1|20537029:1|2068969:1|75055835:1|75295948:1|42242001:1|44057235:1|49888869:1|32045099:1|38519410:1|78744381:1|61645968:1|7984583:1|4488600:1|58373316:1|24598170:1|55127098:1|75047974:1|78663444:1|64352285:1|11234797:1|48917371:1|23603659:1|77684612:1|3151641:1|45952323:1|8513429:1|1737979:1|63510420:1|44252207:1|76518269:1|55862745:1
MV|43605847:1|39654350:1|10805997:1|55428264:1|27116860:1|8008145:1|45425157:1|15219966:1|63227816:1|22195366:1|4044157:1|63881013:1|11076369:1|28138202:1|26998469:1|79454377:1|67859580:1|3716732:1|36802201:1|27576287:1|56408110:1|28016723:1|51108018:1|35889537:1|43761493:1|41956922:1|32433032:1|8611053:1|75386682:1|79235299:1|34458961:1|6819241:1|50109675:1|71889452:1|64041378:1|48229573:1|52354244:1|71938020:1|77893579:1|30563752:1|42382555:1|12118704:1|68816911:1|17852536:1|58523039:1|43332371:1|45227938:1|27454462:1|79736308:1|72249267:1
PN|37047293:2|19377251:1|43319121:1|17890070:1|75597630:1|37552313:1|54254214:1|34292305:1|65528906:1|573334:1|43952678:1|42309461:1|58314241:1|7591703:1|20519355:1|40348202:1|48130078:1|35101602:1|24974284:1|19456956:1|24467998:1|11346622:1|15006916:1|39723461:1|73684402:1|56309069:1|45268067:1|47964495:1|53091637:1|58883897:1|63104862:1|53992832:1|69551372:1|65397465:1|46897193:1|18054327:1|8710303:1|71440126:1|28980368:1|55559351:1|15429634:1|68766817:1|51057250:1|66777217:1|20172350:1|62136013:1|61506363:1|71600863:1|11277743:1|71479563:1
LT|26793575:1|3677589:1|49610615:1|67127736:1|66746222:1|59414044:1|69363805:1|49229673:1|27039014:1|32181280:1|28581769:1|58480534:1|56737847:1|65605070:1|7375980:1|76333017:1|39676173:1|67328647:1|31979641:1|61067633:1|37373616:1|45294378:1|1909680:1|78491414:1|44585965:1|72361478:1|78810911:1|11984499:1|4876814:1|66552144:1|10889785:1|37897696:1|754142:1|67993834:1|69270726:1|29201660:1|58405083:1|50497628:1|67707854:1|24641225:1|62503922:1|72094676:1|20999999:1|35940871:1|32696553:1|72852869:1|72658705:1|10515144:1|25982101:1|41446650:1
WS|25138045:1|51623650:1|61000396:1|74634454:1|46917898:1|9444736:1|65479902:1|58500879:1|36357867:1|26963244:1|26177023:1|58821534:1|4233759:1|12219759:1|79682250:1|33295156:1|60838415:1|47456817:1|36544625:1|69890259:1|29689881:1|39200726:1|65999744:1|2760042:1|1068256:1|45956853:1|24677654:1|24209620:1|56791142:1|48526692:1|47744618:1|77686679:1|46211993:1|16710374:1|42804005:1|75386506:1|37867192:1|50078961:1|55124438:1|75218989:1|52462568:1|38688440:1|61274125:1|69912398:1|12601902:1|44589093:1|49294105:1|8775142:1|76518693:1|945188:1
CL|68774708:1|72588175:1|29971100:1|41351844:1|65759982:1|34816390:1|55767431:1|41310910:1|47081519:1|60766496:1|43892951:1|79453572:1|55486525:1|61679683:1|24750645:1|44678420:1|58638881:1|6122489:1|67322123:1|60718605:1|23681293:1|51668963:1|45939671:1|18724319:1|68983501:1|50989792:1|76226228:1|60117693:1|47780095:1|57294761:1|34922566:1|61364135:1|26580456:1|61257032:1|7673590:1|10688988:1|55560946:1|27466483:1|5574402:1|51092014:1|36447971:1|25991326:1|79286287:1|11760317:1|1683164:1|890274:1|73399469:1|72203830:1|66903134:1|15235931:1
MR|18669749:1|65313158:1|68731076:1|71588290:1|66858832:1|66742211:1|36608066:1|62200855:1|45323745:1|21368089:1|20661356:1|47440286:1|8782210:1|8969438:1|65886991:1|19377766:1|28107244:1|5460231:1|71651426:1|13386369:1|1230685:1|53322461:1|53636781:1|19360321:1|29685634:1|33363158:1|61333343:1|53976495:1|23273957:1|23376819:1|65553433:1|74257050:1|21755130:1|14505407:1|44296943:1|26552751:1|20098687:1|61908356:1|38899934:1|33223696:1|63584293:1|76702851:1|5949283:1|44953960:1|42936691:1|45903353:1|34137954:1|14115624:1|30751261:1|65257202:1
AT|36490395:1|22822903:1|18397408:1|10997830:1|36276653:1|35157771:1|13870404:1|12132832:1|10689347:1|78287302:1|28105813:1|28664749:1|20263872:1|1986300:1|8379876:1|29549230:1|17139304:1|5953374:1|34562001:1|63907613:1|34577843:1|46383223:1|15900848:1|32245749:1|348650:1|21737858:1|2882454:1|37891822:1|18644178:1|58918825:1|68616601:1|1127005:1|52249516:1|55200739:1|10522933:1|43144797:1|10893569:1|68881896:1|24102385:1|9138936:1|70283101:1|41330628:1|62179514:1|27686246:1|59729410:1|62504190:1|31572552:1|67032101:1|50880159:1|20826297:1
NP|5560106:1|73913277:1|53801451:1|59191717:1|23527637:1|72623910:1|4738562:1|16007686:1|74091261:1|60627849:1|5677973:1|55474359:1|14736563:1|58118553:1|68091724:1|9350775:1|18434959:1|13768911:1|8290868:1|73627561:1|7641806:1|2458942:1|43717109:1|62504200:1|14127946:1|48228262:1|78538172:1|36351011:1|30800425:1|25758838:1|6755240:1|52777905:1|27561588:1|31937760:1|61731827:1|39496074:1|26978617:1|20916396:1|12480872:1|12692228:1|39529628:1|44567189:1|12247702:1|38509386:1|27156948:1|72922767:1|55671371:1|72769950:1|60494148:1|7374933:1
MF|51429775:1|9233795:1|2953952:1|19347280:1|63496070:1|69720827:1|3120169:1|79118145:1|45779583:1|78191326:1|20215535:1|13342120:1|56338491:1|22457793:1|10883651:1|25486465:1|62489989:1|16993095:1|75149486:1|76663450:1|23442765:1|42445112:1|63414499:1|63421626:1|45838654:1|59102350:1|8030890:1|25615851:1|78445435:1|74067521:1|69629742:1|25077530:1|32479129:1|5603927:1|42748563:1|14732330:1|44482681:1|56480451:1|47819910:1|1348522:1|69337060:1|68191979:1|39801466:1|57123602:1|12524562:1|19892632:1|34633957:1|24363804:1|16759978:1|17415864:1
RS|23861023:2|48103230:1|7617789:1|28342525:1|774328:1|13247109:1|47109313:1|44673107:1|67418918:1|70604210:1|78934548:1|26878621:1|46671544:1|65145205:1|1135108:1|30639480:1|25161434:1|78210935:1|20402114:1|41864922:1|7335270:1|49654207:1|64124017:1|40266822:1|46775903:1|30974427:1|67218019:1|15160154:1|9106478:1|36733620:1|62524599:1|61927898:1|59070986:1|56562771:1|28513432:1|74517638:1|29147525:1|65186229:1|53292787:1|58988747:1|72981123:1|64373057:1|39275683:1|7071261:1|24958050:1|60131450:1|79866962:1|70611550:1|55335159:1|39349008:1
CV|29591384:1|44490110:1|53157150:1|7102165:1|74128220:1|51173355:1|51911472:1|4042618:1|34530457:1|38183533:1|2045448:1|30397091:1|49634126:1|24124610:1|24812010:1|44186028:1|52015848:1|55385096:1|8363133:1|44964337:1|72692759:1|68035124:1|47528407:1|5839191:1|3802442:1|41135259:1|24826220:1|39410714:1|43586825:1|8892280:1|53979098:1|9696235:1|61112560:1|4339116:1|42581183:1|27169288:1|15309341:1|75442802:1|29011068:1|77953321:1|77900281:1|51824946:1|16146317:1|51278167:1|20520572:1|40973493:1|71764404:1|37088161:1|64536810:1|54066711:1
GI|25810894:2|71229803:1|877782:1|52667056:1|66829629:1|76707562:1|75829605:1|77282434:1|17557753:1|57887455:1|65302305:1|44096187:1|50918696:1|20599893:1|43058063:1|5160265:1|39545861:1|16938665:1|37943855:1|66709076:1|39373384:1|63906598:1|10125139:1|23592603:1|34859429:1|4678409:1|50932449:1|28577991:1|79527444:1|37196313:1|28390633:1|51229812:1|49613979:1|48485920:1|14737447:1|13968458:1|30517132:1|76320003:1|7649921:1|29807180:1|36071743:1|23563473:1|69231066:1|4469323:1|46483075:1|78009611:1|28853490:1|22257174:1|59200057:1|77915065:1
AZ|76581886:1|55543527:1|5267602:1|62358428:1|15959142:1|73601397:1|48693304:1|16985964:1|5929148:1|73545259:1|77852203:1|26004209:1|18233678:1|53631756:1|16771689:1|78242686:1|23762367:1|59395573:1|41535502:1|31353710:1|4395974:1|76924563:1|40279620:1|74389299:1|37590381:1|3394305:1|28083689:1|58455361:1|33924817:1|16907933:1|72969761:1|57982840:1|41663305:1|43329961:1|34868142:1|15496686:1|14460418:1|17295245:1|30526670:1|72466873:1|39516092:1|61434771:1|16143837:1|39097705:1|64506349:1|50618321:1|27774435:1|3748028:1|31833311:1|69468906:1
FJ|60940404:1|48645117:1|4890064:1|19495189:1|3757618:1|17855761:1|17846064:1|53186556:1|78077908:1|51108439:1|78312210:1|68242345:1|9883991:1|37525335:1|28731736:1|65263649:1|46471973:1|26176005:1|6571748:1|39880855:1|52311533:1|77292248:1|570423:1|24778798:1|42863769:1|7028083:1|72299695:1|60791752:1|32243386:1|52855106:1|8904699:1|73288044:1|41546502:1|71034805:1|32991723:1|36319090:1|63016301:1|45475409:1|56577061:1|5626926:1|39947183:1|9288383:1|12486306:1|62891145:1|24709340:1|15041527:1|32373727:1|20298113:1|46159695:1|16059034:1
DM|15080682:1|16212142:1|57400450:1|33536339:1|24959516:1|57953998:1|42355010:1|35476308:1|61520430:1|55288694:1|63687394:1|79942562:1|39372578:1|63105916:1|78641082:1|35071544:1|68855657:1|60139923:1|15115854:1|63572383:1|30317132:1|26900409:1|72123405:1|55353126:1|66194864:1|72321930:1|53248611:1|35650437:1|53539341:1|51938256:1|1507300:1|69128433:1|3959086:1|45945866:1|21853530:1|60200261:1|40919131:1|77970960:1|30368691:1|20673903:1|4445795:1|73678072:1|22182755:1|34799503:1|9454476:1|9824766:1|35731704:1|37550134:1|10571628:1|36646893:1
MS|53056008:1|33993732:1|42342944:1|74135641:1|74505267:1|1352000:1|13942320:1|31978838:1|74722244:1|74625424:1|71717491:1|64282220:1|7871921:1|68065893:1|26333730:1|71946236:1|55521553:1|57838138:1|60556334:1|73154119:1|50727038:1|30958929:1|55258472:1|6846736:1|8824456:1|19683363:1|49775406:1|79139403:1|79374782:1|8537515:1|14408993:1|55889539:1|40630136:1|39679612:1|52786188:1|65039815:1|74766201:1|40277148:1|15850234:1|64051606:1|23645364:1|24377267:1|69895406:1|24683341:1|4095173:1|62635770:1|28482022:1|41382641:1|41972449:1|20814763:1
TR|79547298:2|50113070:1|52488776:1|18630037:1|78503188:1|2207271:1|15377330:1|61692589:1|41990394:1|62221109:1|19609954:1|44100425:1|77891374:1|15033965:1|77375233:1|60030623:1|36746378:1|66157458:1|11965720:1|74052171:1|32077676:1|36816991:1|75623554:1|27478816:1|54526837:1|2656045:1|54844691:1|32426287:1|46989496:1|58929402:1|28725522:1|37040810:1|18041759:1|35936409:1|631756:1|39563630:1|64611783:1|43843738:1|52325774:1|62078798:1|50381341:1|53948954:1|16662065:1|7819225:1|10509544:1|74497428:1|54332891:1|34516915:1|53539585:1|37867566:1
FM|5930069:2|23643842:1|10255556:1|20680671:1|73569355:1|29391854:1|67125169:1|36026439:1|25488222:1|27436651:1|10408042:1|39939990:1|37770418:1|56149574:1|37630299:1|13606406:1|8413413:1|25851074:1|64928963:1|8870945:1|6362105:1|71291994:1|67734717:1|37682005:1|35858798:1|68144752:1|67837509:1|79739476:1|20471882:1|26280444:1|49241178:1|34362293:1|36226176:1|31861860:1|78154999:1|49805489:1|15779814:1|67431094:1|6921893:1|45110859:1|25694074:1|79013020:1|62529536:1|78101781:1|57901192:1|71180823:1|3293308:1|59408138:1|79204631:1|11033557:1
KY|79517974:1|67542110:1|30679464:1|22162048:1|36285887:1|76296610:1|26779262:1|48113728:1|63247273:1|79674714:1|29496763:1|48255080:1|50330369:1|38211972:1|3341055:1|75225443:1|43608936:1|17293288:1|37539713:1|66399358:1|12205682:1|35098286:1|38456166:1|47781419:1|72522965:1|26491122:1|3509664:1|41642175:1|19962523:1|51983568:1|52402767:1|33432363:1|5046944:1|1303791:1|59886428:1|69933302:1|46022442:1|32733829:1|78487950:1|50071292:1|8521305:1|69375650:1|68116657:1|18743665:1|66396154:1|29047725:1|59589409:1|70070521:1|1637812:1|45202036:1
BJ|15649933:1|53095914:1|44645822:1|62388083:1|1643585:1|29388243:1|19716656:1|3847752:1|8508844:1|19596338:1|27089066:1|26460287:1|29207613:1|58476451:1|72861764:1|61921467:1|20868865:1|44900258:1|22394294:1|56419174:1|30957554:1|30943870:1|73826178:1|16251536:1|30694882:1|62245231:1|26714275:1|35934522:1|31808440:1|56202989:1|79684844:1|43355133:1|22615451:1|78580589:1|50362566:1|67346523:1|55882802:1|49586400:1|52986617:1|57317232:1|7022020:1|5854578:1|68452118:1|78281633:1|48128414:1|45906230:1|70931377:1|8171093:1|52366355:1|5059856:1
HR|49653491:1|9414967:1|45862926:1|48077207:1|36681003:1|62068515:1|32032105:1|34620632:1|56669382:1|41601353:1|50518054:1|60889406:1|71879479:1|55439436:1|64420957:1|65392757:1|79031301:1|10671065:1|12880420:1|43704492:1|30793973:1|17599233:1|22853305:1|71196443:1|33560146:1|2374905:1|55981792:1|75963000:1|43481794:1|22097751:1|71154738:1|9474426:1|71454557:1|8655562:1|66481605:1|59148769:1|6948263:1|18879051:1|21571051:1|51835964:1|6710886:1|45161595:1|17688719:1|54731882:1|42715732:1|7271363:1|16969120:1|8843026:1|55737864:1|61322596:1
IE|12611223:1|33506437:1|55194479:1|15520078:1|70133609:1|17826768:1|9419680:1|79628318:1|35049627:1|48305601:1|45211997:1|70830933:1|73462427:1|58016350:1|68342330:1|61224780:1|67190009:1|68344448:1|21286120:1|68349358:1|44305424:1|25579186:1|78503754:1|5483242:1|29762568:1|75970577:1|61010906:1|54496934:1|32974077:1|63185843:1|2432356:1|22808646:1|62011752:1|45593682:1|2228325:1|46261937:1|50620224:1|27008941:1|33164952:1|49672760:1|32575230:1|47426399:1|14377708:1|49262866:1|25924698:1|66783103:1|65694802:1|39805260:1|28171327:1|36809862:1
EH|8080771:1|67100891:1|7392695:1|67529324:1|25418552:1|34613749:1|68848386:1|17098956:1|30110189:1|70102969:1|27235355:1|72747518:1|49816494:1|35980684:1|68854963:1|44793804:1|61968365:1|27922108:1|70854741:1|29207458:1|79555621:1|55226941:1|77170801:1|41708399:1|45895254:1|25237161:1|60933419:1|41791846:1|69254375:1|40394833:1|9805908:1|40556816:1|24832737:1|64287155:1|60891663:1|31167503:1|60984567:1|47145590:1|74570700:1|21317336:1|8669104:1|18134489:1|35491884:1|75412523:1|56890308:1|47753355:1|44873914:1|46031744:1|74686580:1|62723772:1
GR|8833593:1|32751115:1|67167638:1|22187670:1|74387016:1|37492698:1|53188019:1|23747888:1|35518838:1|77684798:1|75579749:1|4924111:1|3338885:1|69201972:1|13311506:1|9086078:1|60295973:1|72263919:1|55794517:1|58638283:1|7752629:1|12383069:1|27871173:1|73176506:1|19783168:1|50716535:1|42235448:1|35026777:1|77014486:1|65516512:1|61181031:1|24596595:1|10344903:1|40772148:1|16553601:1|44980176:1|682016:1|44483106:1|18213907:1|22444504:1|58159957:1|8807722:1|19351083:1|13115904:1|51161786:1|46669327:1|22700008:1|50106475:1|3685348:1|44033457:1
SO|14639638:1|35941947:1|77962021:1|17438706:1|51389130:1|29966921:1|60807544:1|69596373:1|19104315:1|79641022:1|17283263:1|61993577:1|54605876:1|42435190:1|56494585:1|77130259:1|27392271:1|30208344:1|40626761:1|4849766:1|37366911:1|33695155:1|60875292:1|37606692:1|62681413:1|43127219:1|19706424:1|3087362:1|79937718:1|49151725:1|55700976:1|26170900:1|4310015:1|7734950:1|41361119:1|64831143:1|37587170:1|14219464:1|57679196:1|42693428:1|58594094:1|36259413:1|50949910:1|10638158:1|66216112:1|45184828:1|62308034:1|7487793:1|19021230:1|11037434:1
RO|56465167:1|67865340:1|63452257:1|50658945:1|56739433:1|12185360:1|27545311:1|27437505:1|3480659:1|18064857:1|55069251:1|70038825:1|816905:1|69543660:1|47740949:1|76457216:1|73961255:1|79952507:1|22375702:1|56601699:1|76233577:1|18371355:1|16523429:1|35351570:1|52421618:1|19453749:1|57925710:1|20520008:1|9476680:1|43266502:1|35859805:1|47040290:1|67280907:1|78993915:1|1668044:1|70550250:1|7653123:1|62488237:1|49173179:1|26077353:1|66278039:1|13979975:1|56279138:1|70508526:1|40865424:1|72062716:1|57387160:1|26242228:1|1278802:1|68321103:1
CR|38628031:1|28403243:1|59737404:1|78500448:1|7134386:1|47941554:1|73806885:1|51537392:1|37393315:1|47825286:1|38533362:1|16927342:1|46388172:1|60288196:1|45851589:1|5951718:1|43214033:1|24537952:1|42300779:1|79336922:1|24471443:1|47566267:1|50341840:1|49999780:1|64728717:1|1212306:1|10470873:1|47034215:1|55443387:1|51759320:1|24164421:1|10675201:1|65420866:1|11659048:1|41819758:1|47042338:1|46212613:1|41682059:1|29484104:1|14771184:1|41292534:1|58953855:1|67634104:1|72971103:1|26048617:1|46897252:1|2542115:1|72610404:1|43087152:1|27445048:1
NI|44752686:2|73710252:1|45798583:1|73295673:1|5417513:1|41754956:1|65230867:1|5961902:1|45515373:1|45682077:1|79374889:1|75871723:1|1497160:1|19967737:1|64155819:1|19750352:1|24699929:1|10082877:1|31263493:1|54586809:1|25727849:1|37798572:1|26751617:1|42814182:1|48817981:1|78999667:1|9223952:1|23920706:1|31206757:1|66422317:1|2531650:1|40171718:1|45337566:1|44897477:1|72017054:1|73179253:1|9137634:1|78251243:1|43216297:1|60835836:1|15557948:1|9501451:1|53150601:1|13142722:1|5572395:1|45473318:1|14244118:1|40096741:1|47433751:1|54539320:1
CX|9786939:1|35670795:1|72331076:1|24891608:1|44953678:1|3097140:1|10491527:1|63234977:1|46258984:1|21613769:1|42580392:1|41405504:1|4996351:1|69442492:1|2017306:1|70612135:1|78800408:1|13826495:1|36782758:1|50317306:1|7187238:1|43299005:1|4081597:1|75939293:1|33729744:1|6497813:1|72051525:1|73859374:1|45885289:1|15640626:1|44890798:1|9977271:1|69940729:1|41102951:1|46285799:1|25397231:1|59486431:1|66690513:1|55955421:1|15374555:1|61149293:1|37564417:1|62346558:1|44021886:1|57161675:1|11425433:1|72277830:1|62747517:1|43078917:1|74175506:1
MH|71378085:1|35257743:1|67955724:1|29692431:1|43190441:1|4569050:1|1882208:1|17756744:1|79589382:1|36073278:1|53999745:1|25619454:1|69137195:1|29825288:1|52643789:1|3218863:1|61669660:1|49357490:1|7427113:1|71593601:1|7686298:1|24408922:1|76805980:1|33104090:1|47762926:1|17477480:1|8016372:1|74867736:1|9280678:1|36437048:1|18290765:1|13314164:1|4518265:1|67256230:1|65494961:1|71852277:1|68838549:1|10824837:1|73694934:1|38422025:1|47509512:1|55051255:1|28071905:1|10286439:1|56399192:1|33412980:1|60496719:1|34492077:1|14103630:1|7148661:1
MC|22378123:2|63111712:1|1035457:1|10096869:1|79538042:1|36659761:1|59881247:1|40982030:1|61854064:1|39890646:1|52919836:1|59444432:1|68406605:1|63968257:1|64001887:1|37188911:1|51753035:1|29123326:1|76291014:1|53827388:1|33374559:1|43737368:1|31606292:1|40082728:1|64221823:1|79040524:1|13931914:1|72052049:1|42528821:1|25206462:1|30759186:1|14476063:1|14239654:1|58010685:1|9433061:1|13312028:1|72088576:1|34438181:1|28026529:1|58403784:1|46267577:1|29716902:1|33894481:1|6601467:1|22550821:1|13218441:1|53833179:1|74134797:1|74584863:1|69557817:1
PS|69640742:1|41315717:1|65871490:1|29082487:1|38851177:1|42216519:1|25245711:1|29752285:1|79280534:1|552069:1|51430649:1|45354745:1|4817850:1|25913198:1|53389376:1|31212280:1|42805072:1|17776550:1|65502564:1|17657072:1|72363372:1|63442190:1|57291332:1|65871966:1|40323783:1|216688:1|17995736:1|73546827:1|13110904:1|33086049:1|65475397:1|25281724:1|31416744:1|42981686:1|6476181:1|31438320:1|20662848:1|75941750:1|51296001:1|10015916:1|64036336:1|59468071:1|60944806:1|20262089:1|19667954:1|13929142:1|69929193:1|56387495:1|33634521:1|18778477:1
HT|70364987:2|25970607:2|8739627:1|54438644:1|69686224:1|55180126:1|28068097:1|41006712:1|42896722:1|68540148:1|79004232:1|76196375:1|3171653:1|8903286:1|7075630:1|75245721:1|70404297:1|8092346:1|44566005:1|38540315:1|26291515:1|78918146:1|15059820:1|1301731:1|65989523:1|21584554:1|13998191:1|68501556:1|12820300:1|16432456:1|36791943:1|42934362:1|59645759:1|75330916:1|52603929:1|30744885:1|19979410:1|25825169:1|33935309:1|42752305:1|30280324:1|71403290:1|67041008:1|55279087:1|37357685:1|71705883:1|42804859:1|62531677:1|49859265:1|52527148:1
US|56746904:2|47136765:1|45982711:1|8844611:1|6366480:1|17885501:1|15052532:1|68396555:1|31754681:1|31675091:1|78914964:1|45549919:1|69483869:1|50885444:1|44855740:1|43125519:1|65253723:1|6296052:1|52101759:1|63686587:1|17993974:1|32827297:1|42005618:1|69468047:1|36399879:1|66246968:1|64388127:1|42993812:1|19330334:1|49151897:1|62265320:1|23607734:1|40555303:1|20094938:1|35181651:1|29809235:1|12054937:1|3296430:1|78435264:1|26878981:1|13533969:1|49657167:1|14646745:1|70978951:1|24240267:1|8421525:1|65648025:1|41616231:1|30773778:1|28528042:1
CC|77994219:1|1647861:1|7830434:1|34368981:1|7345437:1|7345761:1|60353277:1|13135403:1|46803324:1|69688270:1|57642099:1|41183955:1|68960665:1|68140152:1|54136817:1|32074951:1|50783222:1|50453783:1|67964346:1|76608823:1|11720498:1|66767305:1|31741868:1|54414254:1|65896026:1|10839144:1|18573569:1|2171583:1|23659724:1|15211252:1|46652669:1|5213087:1|71762335:1|66509967:1|48527900:1|49472065:1|65578385:1|67765006:1|46634888:1|28183248:1|35130881:1|26783867:1|52341831:1|64644919:1|61275727:1|72399472:1|69913422:1|38189085:1|52505744:1|59547708:1
NF|18004386:1|52627813:1|67096829:1|34430223:1|1063874:1|41204121:1|17744366:1|55114221:1|668587:1|34185673:1|9888960:1|50555692:1|32228014:1|17795255:1|39201817:1|67444772:1|70333934:1|48375407:1|30083202:1|33779702:1|43949971:1|16327785:1|28534131:1|28820616:1|34470782:1|11768665:1|57085951:1|62033831:1|68072881:1|27265265:1|48408300:1|45757189:1|52400755:1|63605458:1|13017937:1|44157521:1|65205454:1|27194585:1|29228347:1|58531302:1|35807968:1|16570102:1|34706007:1|77133331:1|22573786:1|9215559:1|36731145:1|79942775:1|37685974:1|70991606:1
SL|10258996:2|75709858:1|71175971:1|50588007:1|64687525:1|68667376:1|26753711:1|32707064:1|5675570:1|19229285:1|42004208:1|54307355:1|30450444:1|72270811:1|34878156:1|28630107:1|74950601:1|63792000:1|60269535:1|9721761:1|40700815:1|29068410:1|34931300:1|38702595:1|74555637:1|51692723:1|20847081:1|7057294:1|4113131:1|47590307:1|62175295:1|18753663:1|21857648:1|27157691:1|3344953:1|32221071:1|51182963:1|13733538:1|23158646:1|79812320:1|78691451:1|48775629:1|37558468:1|39264152:1|19693631:1|25726791:1|8333927:1|2460558:1|63531931:1|47765361:1
MM|49664923:2|22577092:2|18181162:1|51110936:1|12802989:1|75169470:1|55032165:1|75960556:1|59860628:1|13974418:1|57208336:1|446133:1|73732751:1|27350851:1|44450419:1|61573263:1|47649041:1|75280696:1|6684186:1|19586906:1|58764073:1|66890116:1|12505784:1|46615616:1|904404:1|27188131:1|47489377:1|35187323:1|29719521:1|5070200:1|25557119:1|61566014:1|62021545:1|5169086:1|38254783:1|2341653:1|76691556:1|3322629:1|77335971:1|21562305:1|42078134:1|43543086:1|45209223:1|52044646:1|27788006:1|12240766:1|50063915:1|64126133:1|1559777:1|61524243:1
GF|14421580:1|8900337:1|3838452:1|46190018:1|15081665:1|54852080:1|1392474:1|22283339:1|50194249:1|13895721:1|73803121:1|3401554:1|62435086:1|20156891:1|79463167:1|24756844:1|3526519:1|3019715:1|11944531:1|46937875:1|45535139:1|33173669:1|76270627:1|18538264:1|47214442:1|51443660:1|49189285:1|64975468:1|5504256:1|37879527:1|7786232:1|50709356:1|78770089:1|33025807:1|60406306:1|36555519:1|57300356:1|26305406:1|67717400:1|70237449:1|20972555:1|75374441:1|42457922:1|49871781:1|59688275:1|61273364:1|12122820:1|43974504:1|65617035:1|11491183:1
AD|75552226:1|52839870:1|42030491:1|26444416:1|1004053:1|66153656:1|73183251:1|54519177:1|57298769:1|27136034:1|71521873:1|78930303:1|46959123:1|19800135:1|15916045:1|73738410:1|15493354:1|20527246:1|19867691:1|58958201:1|19914625:1|51568114:1|29248406:1|18441841:1|36960393:1|51002668:1|32167413:1|4549966:1|45674968:1|58611119:1|57654616:1|18932286:1|77088109:1|51131950:1|53753231:1|54331667:1|42899503:1|31309510:1|2373963:1|12867230:1|47461241:1|44147561:1|13928727:1|38222927:1|48377698:1|29515503:1|46382669:1|25274403:1|70225604:1|16116172:1
KE|73912022:1|60970695:1|22987004:1|25210948:1|54801797:1|49187763:1|64806694:1|30850498:1|42185741:1|38966565:1|1731403:1|43495595:1|7068982:1|59603699:1|54554963:1|14776352:1|13583704:1|59243079:1|18814821:1|3822899:1|9724607:1|71900524:1|47492054:1|58006773:1|42696974:1|58446798:1|5672114:1|4511293:1|10784181:1|61297131:1|711622:1|27695746:1|47859892:1|59990709:1|31692406:1|13520259:1|32431038:1|53436208:1|77958635:1|74157162:1|76035057:1|4009115:1|75332559:1|21868837:1|79445417:1|53547290:1|39210490:1|31555514:1|1771180:1|14603790:1
PM|73723053:1|66207875:1|22837241:1|70677072:1|12194769:1|24922537:1|25344857:1|75038757:1|30826924:1|45201875:1|3551957:1|60703274:1|70109466:1|27427283:1|58541000:1|12372030:1|2084898:1|6248441:1|54520186:1|45392280:1|54272687:1|16257687:1|28785725:1|60864858:1|18414788:1|78634246:1|37714683:1|44534950:1|16498754:1|43945924:1|40465301:1|57488489:1|28890597:1|47420455:1|54911543:1|16958941:1|20573471:1|76172652:1|3499663:1|64172495:1|915788:1|36602362:1|46411592:1|43893716:1|17637786:1|10389377:1|18066790:1|51163836:1|48534839:1|77785070:1
AU|62056851:2|2397394:1|70800978:1|48509586:1|78361508:1|3496713:1|1706946:1|48837192:1|53043300:1|2661974:1|49524760:1|53393057:1|48111942:1|16015000:1|982341:1|41700491:1|19122153:1|31807336:1|66111590:1|79560294:1|61893974:1|14458043:1|65821135:1|3229031:1|15379880:1|59725569:1|70601407:1|65226308:1|44507018:1|77012071:1|44686903:1|53852959:1|17103012:1|30708470:1|54918973:1|64365306:1|46134720:1|69058392:1|70599767:1|757968:1|15565045:1|44217390:1|39823157:1|61086398:1|16931454:1|2310655:1|26023143:1|54975427:1|76547845:1|27935503:1
KN|47718640:2|3653692:1|33136535:1|8152106:1|56956178:1|2561652:1|46865307:1|39409857:1|5663846:1|64327477:1|56931902:1|70012809:1|17724744:1|69652755:1|62802375:1|44264203:1|35769659:1|26692217:1|70529069:1|39479488:1|43627528:1|45660170:1|13748319:1|53179846:1|48881878:1|41285199:1|74878254:1|46410550:1|669826:1|42459398:1|39399921:1|2026554:1|50686402:1|73728463:1|70251894:1|33840367:1|69391175:1|77610716:1|31483953:1|59040993:1|29750288:1|75846610:1|46996510:1|10229748:1|20153434:1|79792797:1|67603119:1|6525208:1|35982075:1|62788383:1
CK|74002541:1|38806517:1|24025908:1|70677431:1|77360188:1|51093396:1|44019417:1|61577583:1|79967567:1|57485672:1|37316577:1|46332629:1|39915040:1|15300103:1|65431565:1|75259174:1|5696904:1|76703034:1|43516732:1|29849480:1|35137956:1|55158406:1|24126390:1|58367997:1|21378987:1|30148741:1|58561663:1|7977540:1|5840724:1|78524081:1|75991350:1|22403749:1|52624895:1|64975692:1|71939115:1|20984565:1|68329826:1|70794353:1|10569073:1|10294575:1|60576134:1|72076007:1|58983122:1|19383713:1|48007286:1|62143516:1|15027658:1|3656723:1|42614300:1|41409350:1
